frame,L0_x,L0_y,L0_z,L0_visibility,L1_x,L1_y,L1_z,L1_visibility,L2_x,L2_y,L2_z,L2_visibility,L3_x,L3_y,L3_z,L3_visibility,L4_x,L4_y,L4_z,L4_visibility,L5_x,L5_y,L5_z,L5_visibility,L6_x,L6_y,L6_z,L6_visibility,L7_x,L7_y,L7_z,L7_visibility,L8_x,L8_y,L8_z,L8_visibility,L9_x,L9_y,L9_z,L9_visibility,L10_x,L10_y,L10_z,L10_visibility,L11_x,L11_y,L11_z,L11_visibility,L12_x,L12_y,L12_z,L12_visibility,L13_x,L13_y,L13_z,L13_visibility,L14_x,L14_y,L14_z,L14_visibility,L15_x,L15_y,L15_z,L15_visibility,L16_x,L16_y,L16_z,L16_visibility,L17_x,L17_y,L17_z,L17_visibility,L18_x,L18_y,L18_z,L18_visibility,L19_x,L19_y,L19_z,L19_visibility,L20_x,L20_y,L20_z,L20_visibility,L21_x,L21_y,L21_z,L21_visibility,L22_x,L22_y,L22_z,L22_visibility,L23_x,L23_y,L23_z,L23_visibility,L24_x,L24_y,L24_z,L24_visibility,L25_x,L25_y,L25_z,L25_visibility,L26_x,L26_y,L26_z,L26_visibility,L27_x,L27_y,L27_z,L27_visibility,L28_x,L28_y,L28_z,L28_visibility,L29_x,L29_y,L29_z,L29_visibility,L30_x,L30_y,L30_z,L30_visibility,L31_x,L31_y,L31_z,L31_visibility,L32_x,L32_y,L32_z,L32_visibility
1,0.4910227358341217,0.09313204884529114,-0.6271529793739319,0.9998599290847778,0.49671563506126404,0.08541722595691681,-0.6199101805686951,0.9995150566101074,0.5012561678886414,0.08455011248588562,-0.6199232339859009,0.9995119571685791,0.5051274299621582,0.08370299637317657,-0.6200145483016968,0.9995019435882568,0.48360177874565125,0.08667205274105072,-0.6160199642181396,0.9994351267814636,0.47914862632751465,0.08667804300785065,-0.616116464138031,0.9993477463722229,0.47452512383461,0.08660834282636642,-0.6161751747131348,0.9992920160293579,0.5108417272567749,0.08323504030704498,-0.47337156534194946,0.9993742108345032,0.46963468194007874,0.08620545268058777,-0.4549054205417633,0.999076247215271,0.5008108019828796,0.09813404083251953,-0.5634233355522156,0.9998836517333984,0.4845649302005768,0.09960326552391052,-0.5584459900856018,0.9998482465744019,0.5597913265228271,0.11932975798845291,-0.30548346042633057,0.9999754428863525,0.4317850172519684,0.1159593015909195,-0.28937575221061707,0.9999637603759766,0.5715544819831848,0.16850465536117554,-0.193232461810112,0.9855555295944214,0.41216960549354553,0.1615327149629593,-0.18262979388237,0.9751538634300232,0.5629477500915527,0.21162383258342743,-0.2878527045249939,0.9416201710700989,0.40290534496307373,0.19816260039806366,-0.28386685252189636,0.9258368611335754,0.5642485618591309,0.22750583291053772,-0.3191826343536377,0.8824220299720764,0.3996216356754303,0.21165964007377625,-0.31569087505340576,0.8703550100326538,0.5560436844825745,0.22658361494541168,-0.36695748567581177,0.8895766139030457,0.40494200587272644,0.21045249700546265,-0.36608728766441345,0.8783659934997559,0.552216649055481,0.22107519209384918,-0.30641844868659973,0.8673983812332153,0.40835660696029663,0.206370010972023,-0.30522820353507996,0.8567894697189331,0.5244079232215881,0.2163955420255661,0.004409737419337034,0.9990566372871399,0.45572319626808167,0.21664682030677795,-0.0043984404765069485,0.99868243932724,0.5170852541923523,0.29062947630882263,-0.021955126896500587,0.9625597596168518,0.46872755885124207,0.2900913655757904,-0.010391123592853546,0.9703753590583801,0.5075482726097107,0.36010420322418213,0.21241626143455505,0.9577445983886719,0.47861626744270325,0.3572736382484436,0.23025940358638763,0.9550251960754395,0.5009141564369202,0.36830073595046997,0.22558194398880005,0.8047124147415161,0.4795849323272705,0.3663000464439392,0.2445557713508606,0.7561988830566406,0.5192711353302002,0.38435080647468567,0.04615591838955879,0.9461341500282288,0.47335341572761536,0.3809700906276703,0.06484270095825195,0.9425258040428162
2,0.4909645915031433,0.09319008886814117,-0.6430054306983948,0.9998720288276672,0.4965251684188843,0.08541803807020187,-0.6331890821456909,0.9995578527450562,0.5010585188865662,0.08455005288124084,-0.6331756114959717,0.9995556473731995,0.5051008462905884,0.08368267118930817,-0.6332261562347412,0.999544620513916,0.4832291901111603,0.08667624741792679,-0.6305292248725891,0.9994848966598511,0.47855642437934875,0.08669015765190125,-0.6306468844413757,0.9994064569473267,0.4743254482746124,0.08664317429065704,-0.6306513547897339,0.9993553161621094,0.5108747482299805,0.08290700614452362,-0.4747186601161957,0.9994300603866577,0.4695427119731903,0.08623357117176056,-0.46128103137016296,0.9991631507873535,0.5008808374404907,0.09816735237836838,-0.5745844841003418,0.9998931884765625,0.48446428775787354,0.09984562546014786,-0.5712521076202393,0.9998605847358704,0.5598822236061096,0.11932072043418884,-0.2929230034351349,0.9999767541885376,0.4318578839302063,0.11563413590192795,-0.27837178111076355,0.9999658465385437,0.571661114692688,0.168629989027977,-0.1393299251794815,0.9860835671424866,0.41163602471351624,0.16143985092639923,-0.08030804246664047,0.9759035110473633,0.5631188750267029,0.21074731647968292,-0.20425646007061005,0.9437844157218933,0.40180790424346924,0.1986161172389984,-0.07956123352050781,0.9295483827590942,0.5646103024482727,0.22605843842029572,-0.22209763526916504,0.8849186301231384,0.3984234929084778,0.21313604712486267,-0.08830612152814865,0.8756685853004456,0.5572309494018555,0.22496022284030914,-0.2759338617324829,0.8919698596000671,0.4041145145893097,0.21249182522296906,-0.13751299679279327,0.8832801580429077,0.5533729195594788,0.2198200821876526,-0.2242867350578308,0.8698605298995972,0.4078051745891571,0.20796385407447815,-0.0961540937423706,0.8626213073730469,0.5245080590248108,0.21610426902770996,0.0015630602138116956,0.9990310072898865,0.45570236444473267,0.21647422015666962,-0.0015189629048109055,0.9987182021141052,0.517472505569458,0.2898406386375427,-0.01756487973034382,0.963926374912262,0.4687213897705078,0.2891681492328644,-0.013058660551905632,0.9707689881324768,0.5076843500137329,0.35885676741600037,0.18833276629447937,0.958638072013855,0.4787587523460388,0.3576030731201172,0.1970222294330597,0.955660343170166,0.5014118552207947,0.3672429919242859,0.19698156416416168,0.8022556900978088,0.4796079993247986,0.36646249890327454,0.2063879370689392,0.75943922996521,0.5181061625480652,0.3812543451786041,0.015276244841516018,0.9467676281929016,0.4740174412727356,0.37941932678222656,0.023039385676383972,0.9434902667999268
3,0.49096521735191345,0.09361415356397629,-0.6553285121917725,0.9998829364776611,0.4964417517185211,0.08565331995487213,-0.6452556252479553,0.9995959997177124,0.5008948445320129,0.0848061665892601,-0.6452269554138184,0.9995945692062378,0.5050334334373474,0.08387211710214615,-0.645261824131012,0.9995821118354797,0.4831726551055908,0.08695805817842484,-0.6438157558441162,0.9995298385620117,0.4784809350967407,0.08699461817741394,-0.6439487934112549,0.9994596838951111,0.4743087887763977,0.08695212751626968,-0.6439540982246399,0.9994127750396729,0.5108610987663269,0.08290611207485199,-0.47972187399864197,0.9994787573814392,0.4695422351360321,0.08644973486661911,-0.4733670651912689,0.9992415904998779,0.5009573698043823,0.09858951717615128,-0.5843796730041504,0.9999014139175415,0.4844675064086914,0.10043197125196457,-0.5827839374542236,0.999871551990509,0.559877872467041,0.1192578449845314,-0.2872183620929718,0.9999775886535645,0.43188536167144775,0.11560224741697311,-0.2791278660297394,0.9999679327011108,0.571672797203064,0.16860386729240417,-0.12522785365581512,0.9863648414611816,0.41134771704673767,0.16141967475414276,-0.09238321334123611,0.9769414067268372,0.5630512237548828,0.20850799977779388,-0.19245855510234833,0.9447528123855591,0.40156301856040955,0.19862417876720428,-0.10101179033517838,0.9334991574287415,0.5645110011100769,0.22406573593616486,-0.21006642282009125,0.8848068714141846,0.39797088503837585,0.21337483823299408,-0.11202184110879898,0.8816229701042175,0.5573577284812927,0.2230847328901291,-0.26415786147117615,0.8919734358787537,0.40390974283218384,0.21286779642105103,-0.16118347644805908,0.8888300657272339,0.5535184144973755,0.2177082896232605,-0.21278585493564606,0.869796872138977,0.4076487720012665,0.208147794008255,-0.11767163872718811,0.8689939379692078,0.524610698223114,0.21574807167053223,0.0016384171321988106,0.998988687992096,0.4559416174888611,0.21623274683952332,-0.0015947369392961264,0.998746395111084,0.517841637134552,0.2882922291755676,-0.009022927843034267,0.9653847813606262,0.4687400460243225,0.2880450189113617,-0.014080126769840717,0.9715071320533752,0.5077165961265564,0.3573770523071289,0.19205807149410248,0.9596900343894958,0.4787599444389343,0.35761916637420654,0.19437731802463531,0.9567219018936157,0.5015282034873962,0.36544424295425415,0.20131398737430573,0.8044142723083496,0.4795242249965668,0.3664427399635315,0.20384034514427185,0.7628087401390076,0.5178093910217285,0.3801649510860443,0.02153225988149643,0.9479723572731018,0.4756859540939331,0.3787555694580078,0.020613593980669975,0.944737434387207
4,0.49086734652519226,0.09376175701618195,-0.6741564869880676,0.9998932480812073,0.49606645107269287,0.08569783717393875,-0.6631938219070435,0.9996320605278015,0.5004513263702393,0.08484319597482681,-0.6631629467010498,0.999631404876709,0.5046486854553223,0.08387923240661621,-0.66319340467453,0.9996180534362793,0.4827796220779419,0.08701474964618683,-0.6624388694763184,0.9995718002319336,0.4780571162700653,0.08705802261829376,-0.6625779271125793,0.9995092749595642,0.4740961790084839,0.0870337188243866,-0.6625725626945496,0.9994663000106812,0.5106458067893982,0.08279689401388168,-0.49464258551597595,0.9995250701904297,0.4693421721458435,0.08650736510753632,-0.49258655309677124,0.9993139505386353,0.5009366869926453,0.09869906306266785,-0.6026838421821594,0.999909520149231,0.4843292832374573,0.10068663954734802,-0.6021595001220703,0.9998822212219238,0.5598770976066589,0.11930450797080994,-0.29003825783729553,0.9999788403511047,0.43155574798583984,0.11589112877845764,-0.2932890057563782,0.9999696612358093,0.5716689229011536,0.16860371828079224,-0.13754476606845856,0.986798882484436,0.4110805094242096,0.1615307480096817,-0.08826617151498795,0.9776997566223145,0.5631070137023926,0.20844116806983948,-0.20453591644763947,0.9466473460197449,0.4014173448085785,0.1988435536623001,-0.06084265559911728,0.9368717074394226,0.5655054450035095,0.22397133708000183,-0.2211916446685791,0.886587917804718,0.3978283703327179,0.21399690210819244,-0.06495904177427292,0.8866729736328125,0.5591174364089966,0.22296838462352753,-0.2759941518306732,0.8937525153160095,0.40382108092308044,0.21340009570121765,-0.11220663040876389,0.8934792876243591,0.5546935200691223,0.2178395539522171,-0.22515198588371277,0.8718875050544739,0.4075702428817749,0.20858456194400787,-0.07551765441894531,0.8744626641273499,0.5246857404708862,0.21573525667190552,0.0017106470186263323,0.9989864826202393,0.45605021715164185,0.21632857620716095,-0.001669456367380917,0.9987917542457581,0.5184415578842163,0.287974089384079,-0.00030033846269361675,0.9672904014587402,0.4690239727497101,0.2878016531467438,-0.01400939840823412,0.9726517796516418,0.5079926252365112,0.35721173882484436,0.20438252389431,0.9615312814712524,0.4787392020225525,0.35761526226997375,0.20281435549259186,0.9585030674934387,0.5019264817237854,0.3651798367500305,0.213219553232193,0.809726357460022,0.47924065589904785,0.36625561118125916,0.21402513980865479,0.7681780457496643,0.5179339647293091,0.3803257942199707,0.03626924008131027,0.950116753578186,0.47704076766967773,0.3784988224506378,0.032102830708026886,0.9468382596969604
5,0.4903997778892517,0.09396699070930481,-0.683264434337616,0.9999018907546997,0.49544739723205566,0.08582458645105362,-0.6726221442222595,0.9996631741523743,0.49985894560813904,0.08497387915849686,-0.672595739364624,0.9996632933616638,0.5041376352310181,0.0839557871222496,-0.6726416349411011,0.9996491074562073,0.4820013642311096,0.08717584609985352,-0.6709008812904358,0.9996079802513123,0.4773227274417877,0.08721580356359482,-0.6710429191589355,0.9995522499084473,0.47361457347869873,0.08721037209033966,-0.6710444092750549,0.999512791633606,0.5103359222412109,0.08279625326395035,-0.5077563524246216,0.9995653033256531,0.4689300060272217,0.08665841072797775,-0.5003359317779541,0.9993777871131897,0.5005528926849365,0.09891018271446228,-0.6133314967155457,0.9999164938926697,0.4836563169956207,0.10106759518384933,-0.6113101243972778,0.9998912811279297,0.5598580241203308,0.12001598626375198,-0.30981290340423584,0.9999797344207764,0.43070483207702637,0.11663534492254257,-0.3027152121067047,0.9999709725379944,0.5716227889060974,0.16922436654567719,-0.14189162850379944,0.9869492650032043,0.4106012284755707,0.1622195839881897,-0.09247846156358719,0.9779766201972961,0.5631022453308105,0.20853298902511597,-0.22394205629825592,0.9466806054115295,0.40134501457214355,0.19902750849723816,-0.060457199811935425,0.938742458820343,0.5658144354820251,0.22406388819217682,-0.24313940107822418,0.8852546215057373,0.3978399932384491,0.21426068246364594,-0.06485150009393692,0.8890378475189209,0.5593886971473694,0.2230781763792038,-0.2963542342185974,0.8924564719200134,0.403823584318161,0.2135552614927292,-0.11144186556339264,0.8955647349357605,0.5548423528671265,0.2182062417268753,-0.24393533170223236,0.8702208995819092,0.40756240487098694,0.20874089002609253,-0.07500923424959183,0.877011239528656,0.5246970653533936,0.2158154547214508,0.00039758457569405437,0.9989755749702454,0.4560502767562866,0.21667081117630005,-0.00034557664184831083,0.998816728591919,0.5188036561012268,0.2879685163497925,-0.003998153377324343,0.9686608910560608,0.4690433144569397,0.28779882192611694,-0.014904615469276905,0.973227322101593,0.5081678628921509,0.35792312026023865,0.19563226401805878,0.9630616903305054,0.4786004424095154,0.35798439383506775,0.20269398391246796,0.9595650434494019,0.5021651387214661,0.36586129665374756,0.20401331782341003,0.8102937340736389,0.47922924160957336,0.36627495288848877,0.21346499025821686,0.7718417048454285,0.5178269743919373,0.3811701834201813,0.019731640815734863,0.9516204595565796,0.47696611285209656,0.37903109192848206,0.02926148846745491,0.9483332633972168
6,0.4894323945045471,0.09434814006090164,-0.6824238896369934,0.9999094009399414,0.4945014715194702,0.08614061027765274,-0.672817587852478,0.9996899962425232,0.4989965856075287,0.08532030135393143,-0.6727888584136963,0.9996908903121948,0.5032772421836853,0.08429648727178574,-0.6728306412696838,0.9996759295463562,0.48099222779273987,0.08749566972255707,-0.6703484058380127,0.9996391534805298,0.47646263241767883,0.08748917281627655,-0.6704957485198975,0.9995895028114319,0.4729612171649933,0.08746688812971115,-0.6705150604248047,0.9995532035827637,0.5099201798439026,0.08289524167776108,-0.5128077864646912,0.9995992183685303,0.4685773253440857,0.08681140094995499,-0.5022796392440796,0.9994331002235413,0.4996431767940521,0.09930972754955292,-0.6143502593040466,0.9999223947525024,0.48258140683174133,0.10150407999753952,-0.6114968657493591,0.9998993873596191,0.5597431659698486,0.12070439755916595,-0.3196617364883423,0.9999802708625793,0.4304051399230957,0.11701137572526932,-0.31084704399108887,0.9999722242355347,0.571607232093811,0.17048749327659607,-0.1671624332666397,0.9872241616249084,0.409837543964386,0.16282017529010773,-0.10918506979942322,0.978725790977478,0.5634021759033203,0.20925967395305634,-0.24044619500637054,0.9482566118240356,0.401165246963501,0.19902080297470093,-0.11329880356788635,0.9414246082305908,0.5676553845405579,0.2240845113992691,-0.2555707097053528,0.8873345851898193,0.39782872796058655,0.21421052515506744,-0.12433329224586487,0.8928630948066711,0.5608698725700378,0.22319236397743225,-0.31127241253852844,0.8943516612052917,0.40378883481025696,0.2134801596403122,-0.1705830991268158,0.8990423083305359,0.5560030937194824,0.21898631751537323,-0.2608986794948578,0.8720897436141968,0.40750232338905334,0.20869749784469604,-0.12886157631874084,0.8809954524040222,0.5244991183280945,0.21583643555641174,0.0015127231599763036,0.9989575743675232,0.4559834897518158,0.21681904792785645,-0.0014609547797590494,0.9988393187522888,0.5198593735694885,0.2877391576766968,-0.0022300726268440485,0.9696143865585327,0.46904152631759644,0.28768157958984375,-0.027710944414138794,0.9740628600120544,0.508571982383728,0.35774466395378113,0.20399980247020721,0.9640145301818848,0.4784354865550995,0.3581445813179016,0.1955261379480362,0.9608117341995239,0.5025051832199097,0.36509397625923157,0.2129323035478592,0.8123703002929688,0.4791966676712036,0.3662753999233246,0.20664547383785248,0.7747824192047119,0.5180936455726624,0.3812747895717621,0.025833506137132645,0.9527208805084229,0.47694963216781616,0.3794151544570923,0.016657233238220215,0.9497888088226318
7,0.48860621452331543,0.09475839883089066,-0.6844081878662109,0.9999163746833801,0.49378809332847595,0.08655481785535812,-0.675666868686676,0.9997145533561707,0.49834561347961426,0.08575363457202911,-0.6756299734115601,0.9997159242630005,0.5025955438613892,0.08476979285478592,-0.6756677627563477,0.9997004866600037,0.48033425211906433,0.08790283650159836,-0.6729351878166199,0.9996677041053772,0.47590863704681396,0.08784400671720505,-0.673080325126648,0.9996235370635986,0.4725080728530884,0.08778412640094757,-0.6731054782867432,0.9995903372764587,0.5096284747123718,0.08314681798219681,-0.5173904895782471,0.9996305108070374,0.46836981177330017,0.08700360357761383,-0.5053975582122803,0.9994831681251526,0.4987315535545349,0.09966879338026047,-0.616557776927948,0.9999280571937561,0.48180192708969116,0.10188135504722595,-0.6133496165275574,0.9999070763587952,0.5596469640731812,0.12098780274391174,-0.32385343313217163,0.9999811053276062,0.4302448034286499,0.1171472892165184,-0.3138801157474518,0.999973714351654,0.5717197060585022,0.17094869911670685,-0.1712000072002411,0.9875953793525696,0.4088752865791321,0.16311787068843842,-0.1223570927977562,0.9797971844673157,0.5634523034095764,0.20948158204555511,-0.24501608312129974,0.949986457824707,0.40058445930480957,0.19904829561710358,-0.11468174308538437,0.9450698494911194,0.5680010914802551,0.2241525948047638,-0.26066628098487854,0.8901565074920654,0.39770710468292236,0.21423019468784332,-0.1295967400074005,0.8986655473709106,0.5610474944114685,0.22321803867816925,-0.3178476393222809,0.896949291229248,0.4036550223827362,0.21344348788261414,-0.18170572817325592,0.9044714570045471,0.5561968684196472,0.21929219365119934,-0.2656545341014862,0.8748271465301514,0.4072544574737549,0.20867614448070526,-0.13673020899295807,0.8870905041694641,0.524206280708313,0.2158176749944687,0.001370214275084436,0.9989717602729797,0.45586711168289185,0.2168264240026474,-0.0013317163102328777,0.9988719820976257,0.5204402208328247,0.28778398036956787,-0.0031410916708409786,0.9707781076431274,0.46902719140052795,0.28764107823371887,-0.02757553942501545,0.974768877029419,0.5096245408058167,0.35728582739830017,0.21121565997600555,0.9651849865913391,0.47822028398513794,0.35763058066368103,0.20644904673099518,0.9617977738380432,0.5039547681808472,0.3637712895870209,0.22192496061325073,0.8122254610061646,0.47915247082710266,0.36484894156455994,0.21871539950370789,0.7769571542739868,0.5178356766700745,0.38135236501693726,0.031427111476659775,0.9538868069648743,0.4766674041748047,0.37951385974884033,0.023734934628009796,0.9510151743888855
8,0.4881725609302521,0.09496404975652695,-0.6784695386886597,0.9999223351478577,0.49334585666656494,0.08677054941654205,-0.6699672937393188,0.9997356534004211,0.49791219830513,0.08597772568464279,-0.66993647813797,0.9997376203536987,0.5021418929100037,0.08499696850776672,-0.6699786186218262,0.9997217655181885,0.47994711995124817,0.08810074627399445,-0.6672874093055725,0.9996920228004456,0.4755643606185913,0.08801329135894775,-0.6674241423606873,0.9996525645256042,0.47221294045448303,0.08793859928846359,-0.6674467921257019,0.9996218681335449,0.5093399882316589,0.08327960222959518,-0.5135233402252197,0.9996581077575684,0.46817725896835327,0.08712687343358994,-0.5014051795005798,0.9995267391204834,0.4981706440448761,0.09982414543628693,-0.6111412048339844,0.999933123588562,0.481376588344574,0.10204672813415527,-0.6079046726226807,0.9999138116836548,0.5595691800117493,0.12107869237661362,-0.3243289887905121,0.9999821782112122,0.42995867133140564,0.11745592951774597,-0.30995282530784607,0.9999749660491943,0.5717554688453674,0.17092081904411316,-0.17518064379692078,0.9880684018135071,0.4084599018096924,0.16340401768684387,-0.11972679197788239,0.980567216873169,0.5634475946426392,0.2095348834991455,-0.25076648592948914,0.9522572159767151,0.3996031582355499,0.20022889971733093,-0.12701845169067383,0.948033332824707,0.568102240562439,0.2242479771375656,-0.26915258169174194,0.8945038318634033,0.3969873785972595,0.21497264504432678,-0.14088602364063263,0.9033797979354858,0.5611649751663208,0.2233268767595291,-0.32469087839126587,0.9009976983070374,0.40271031856536865,0.2142074704170227,-0.1900019496679306,0.908898651599884,0.5563207268714905,0.2193673551082611,-0.270906925201416,0.879304826259613,0.4062422811985016,0.20953723788261414,-0.14474959671497345,0.8921733498573303,0.5240463018417358,0.21585264801979065,-2.5784253011806868e-05,0.998981773853302,0.45574474334716797,0.21692271530628204,5.555127791012637e-05,0.9988879561424255,0.5204111933708191,0.2878043055534363,-0.005369688384234905,0.9716649055480957,0.46904364228248596,0.2875410318374634,-0.02632439136505127,0.9748985171318054,0.5100224018096924,0.3574603796005249,0.21089576184749603,0.9659891128540039,0.4775638282299042,0.3575262427330017,0.2072441726922989,0.9618032574653625,0.5049448609352112,0.3639470636844635,0.22150209546089172,0.8083361983299255,0.4789057970046997,0.36463025212287903,0.21969074010849,0.7764449715614319,0.5168708562850952,0.3817045986652374,0.030842477455735207,0.9543755650520325,0.4763893485069275,0.37965551018714905,0.02553017996251583,0.9512504935264587
9,0.48782777786254883,0.09504833817481995,-0.6747342348098755,0.9999274015426636,0.4930136203765869,0.08685236424207687,-0.665956437587738,0.9997536540031433,0.4975822865962982,0.08606410026550293,-0.6659314632415771,0.9997562170028687,0.5018190741539001,0.08507701009511948,-0.6659823656082153,0.999739944934845,0.4796484410762787,0.08816839754581451,-0.6633818745613098,0.9997130632400513,0.47530150413513184,0.08807241171598434,-0.6635152697563171,0.9996774196624756,0.4719924032688141,0.08799564838409424,-0.6635403037071228,0.9996487498283386,0.5091148018836975,0.08333294838666916,-0.5091474652290344,0.9996824264526367,0.46808966994285583,0.08717662841081619,-0.49736905097961426,0.9995643496513367,0.4978196918964386,0.09988321363925934,-0.6072441339492798,0.9999374747276306,0.48108723759651184,0.10210347175598145,-0.6041600108146667,0.9999196529388428,0.5595447421073914,0.12106386572122574,-0.32181161642074585,0.999983012676239,0.429890900850296,0.11762399226427078,-0.3042594790458679,0.9999759793281555,0.5718659162521362,0.1709136962890625,-0.1811680793762207,0.9886592030525208,0.40803804993629456,0.16364455223083496,-0.11537549644708633,0.9812122583389282,0.5637527704238892,0.21013782918453217,-0.2644376754760742,0.9549562335014343,0.398486852645874,0.20182520151138306,-0.13163474202156067,0.9506727457046509,0.5686498284339905,0.2248203009366989,-0.28715780377388,0.8997018337249756,0.39530426263809204,0.21607878804206848,-0.1461736410856247,0.9075286984443665,0.5617285966873169,0.22393766045570374,-0.3410471975803375,0.9058652520179749,0.40118271112442017,0.21539683640003204,-0.19484920799732208,0.9128033518791199,0.5569050908088684,0.22029933333396912,-0.2845328450202942,0.8848039507865906,0.4050540328025818,0.21080583333969116,-0.1489274650812149,0.8966583609580994,0.5241702795028687,0.2158612161874771,-0.0003330893814563751,0.9989649057388306,0.45576271414756775,0.21699075400829315,0.0003760495746973902,0.998895525932312,0.521192729473114,0.28745752573013306,-0.009883293882012367,0.9725900292396545,0.46907544136047363,0.2874152958393097,-0.029841182753443718,0.9753350019454956,0.511785626411438,0.35743430256843567,0.20004720985889435,0.9666001200675964,0.47763434052467346,0.3580199182033539,0.18945623934268951,0.9625250101089478,0.5068332552909851,0.3639220595359802,0.20983736217021942,0.8076698184013367,0.4795295000076294,0.36574187874794006,0.19999416172504425,0.7786027789115906,0.5172298550605774,0.3816264271736145,0.022073175758123398,0.9550024271011353,0.4763416349887848,0.3799266517162323,0.008919302374124527,0.9521237015724182
10,0.48782840371131897,0.0951097160577774,-0.6597914695739746,0.9999316930770874,0.49298644065856934,0.08689843863248825,-0.6517232060432434,0.9997689723968506,0.4975397288799286,0.08610503375530243,-0.6517057418823242,0.9997720122337341,0.5017997026443481,0.08510158210992813,-0.6517524123191833,0.9997556209564209,0.4796055555343628,0.08824632316827774,-0.6488736867904663,0.9997310042381287,0.47524401545524597,0.08816581219434738,-0.6489965319633484,0.9996983408927917,0.47192955017089844,0.08810029923915863,-0.6490298509597778,0.9996712803840637,0.5090904831886292,0.08336125314235687,-0.4973061978816986,0.9997039437294006,0.46806469559669495,0.0872955173254013,-0.4834381639957428,0.999596118927002,0.4978489577770233,0.0999266654253006,-0.5929147005081177,0.9999411702156067,0.4811086058616638,0.10216322541236877,-0.5892413854598999,0.9999246001243591,0.5595530867576599,0.12097939103841782,-0.31576743721961975,0.9999836683273315,0.4299822747707367,0.11761900037527084,-0.292012095451355,0.9999767541885376,0.5720173120498657,0.17087969183921814,-0.17986761033535004,0.9890403747558594,0.4080045223236084,0.16363345086574554,-0.11717094480991364,0.9817313551902771,0.5638294816017151,0.21058012545108795,-0.2674019932746887,0.9567347764968872,0.398219496011734,0.20226867496967316,-0.14945021271705627,0.9527922868728638,0.5686003565788269,0.22518588602542877,-0.2930775284767151,0.9033219814300537,0.39502304792404175,0.2164153754711151,-0.16918031871318817,0.9109252691268921,0.561676561832428,0.22429141402244568,-0.3460582494735718,0.909258246421814,0.4007776081562042,0.21570473909378052,-0.22052977979183197,0.9160574078559875,0.556936502456665,0.22068707644939423,-0.28755682706832886,0.8885833024978638,0.4046940803527832,0.21109455823898315,-0.1688702404499054,0.9003785252571106,0.5242977738380432,0.2158529907464981,-0.001051687402650714,0.9989456534385681,0.45588093996047974,0.21701489388942719,0.0011047746520489454,0.9988880157470703,0.5218812823295593,0.28719478845596313,-0.017708206549286842,0.9733375906944275,0.4694336950778961,0.28742945194244385,-0.02739897184073925,0.9754353761672974,0.5130640864372253,0.35738319158554077,0.1943439394235611,0.9669190049171448,0.47795370221138,0.3585495948791504,0.19039936363697052,0.9625718593597412,0.508430540561676,0.3638775050640106,0.20445865392684937,0.8046396970748901,0.4805639684200287,0.36651164293289185,0.20088689029216766,0.7785148620605469,0.5172950029373169,0.38149911165237427,0.017668522894382477,0.955177366733551,0.4764517843723297,0.3799838423728943,0.012004093267023563,0.9522263407707214
